headcount,predominant_bearing,opposite_count,density_label,opposite_flow_label
38,154.6590931676508,0.0,36.0,0
28,266.6254136019734,0.0,31.0,0
14,310.6700636353065,5.0,24.0,1
42,191.4800684427051,0.0,46.0,0
7,284.19558991026884,2.0,12.0,0
20,106.84320552714621,0.0,24.0,0
38,194.89305965661674,0.0,38.0,0
18,124.28278332119008,0.0,22.0,0
22,149.1123332058589,0.0,21.0,0
10,263.66899133256067,0.0,13.0,0
10,317.3984936397766,3.0,19.0,1
23,43.73834079159555,0.0,24.0,0
35,228.47013233545698,0.0,39.0,0
39,209.57177072800746,0.0,40.0,0
23,42.62941410333548,0.0,27.0,0
2,76.28195895843928,0.0,5.0,0
21,111.96089810376489,0.0,20.0,0
1,60.09518549430053,0.0,5.0,0
23,87.74261370876305,0.0,24.0,0
43,96.33628759021471,0.0,41.0,0
29,120.84257989406146,0.0,32.0,0
37,269.78056300841723,0.0,37.0,0
1,205.88839338621625,0.0,1.0,0
20,355.0488019025045,0.0,19.0,0
32,149.30489770828956,0.0,30.0,0
11,271.391426581293,0.0,12.0,0
21,313.72863169555217,0.0,25.0,0
43,244.4322574936951,0.0,46.0,0
24,148.27130655029856,0.0,24.0,0
48,271.29406706847107,0.0,48.0,0
26,73.32016959816654,0.0,26.0,0
41,117.91877946484767,0.0,41.0,0
27,196.80669183574395,0.0,29.0,0
15,207.1473794230134,4.0,22.0,1
14,7.970931170146605,0.0,15.0,0
46,340.24110795216313,18.0,85.0,1
43,250.7858176382604,0.0,46.0,0
2,178.45335008348079,0.0,5.0,0
36,335.925804386991,0.0,37.0,0
6,158.07440349029827,1.0,7.0,0
20,352.95680529733386,9.0,36.0,1
8,184.42251260765462,0.0,12.0,0
38,41.142877199272604,0.0,42.0,0
17,275.3283500853398,0.0,16.0,0
3,244.40318102802257,0.0,3.0,0
24,278.2752196700112,0.0,28.0,0
13,342.51913034124516,4.0,21.0,1
49,279.5361489543665,0.0,48.0,0
8,220.08117679799287,0.0,7.0,0
25,308.6312048499027,0.0,26.0,0
1,242.36871816763136,0.0,2.0,0
19,146.92286045733232,0.0,21.0,0
27,318.82311512703836,4.0,38.0,1
46,79.88416588237423,0.0,48.0,0
6,257.2708589671407,0.0,9.0,0
43,317.3628437786725,0.0,43.0,0
7,263.2739470931867,0.0,9.0,0
46,251.0191508593885,0.0,48.0,0
34,270.949785865861,0.0,32.0,0
13,167.41988938823198,0.0,12.0,0
16,314.70144557652935,0.0,17.0,0
35,73.23713104899284,0.0,37.0,0
49,45.859109760122145,0.0,50.0,0
39,102.78316084266416,0.0,42.0,0
3,191.36786283899752,0.0,5.0,0
1,183.80224634736172,0.0,4.0,0
5,295.4155527635712,0.0,7.0,0
41,145.64471630544625,16.0,77.0,1
3,174.36399346494312,0.0,3.0,0
28,4.812365973382429,0.0,26.0,0
17,147.50612511945806,3.0,26.0,1
25,233.19872386212316,10.0,44.0,1
43,5.582999025573185,0.0,42.0,0
33,101.11750746704774,5.0,43.0,1
9,74.86428934418038,2.0,13.0,0
35,15.114754407451763,0.0,39.0,0
13,172.5336323692335,0.0,12.0,0
30,65.42038556213635,0.0,33.0,0
47,267.5093542672968,3.0,52.0,1
14,305.25403815480547,6.0,24.0,1
7,196.4106657608932,0.0,9.0,0
13,353.41464330761096,2.0,15.0,0
22,162.1722857294143,0.0,26.0,0
39,184.81255568096958,0.0,43.0,0
20,356.11839142479005,0.0,19.0,0
15,83.35743694741757,0.0,17.0,0
44,339.3165382836859,0.0,43.0,0
17,15.42151984288077,0.0,15.0,0
46,160.69928049475013,0.0,44.0,0
23,25.201264367903676,0.0,26.0,0
25,262.5245074489115,0.0,28.0,0
24,219.0272169168064,0.0,22.0,0
44,254.3883348483347,0.0,46.0,0
40,134.8129439884861,0.0,44.0,0
28,133.0134962512969,0.0,31.0,0
14,16.314940425922057,0.0,17.0,0
44,125.98017823067032,0.0,45.0,0
0,334.5438248143414,0.0,1.0,0
24,136.52155338496163,10.0,47.0,1
6,299.2923742399092,3.0,11.0,1
8,303.23718170997626,0.0,10.0,0
23,134.36681629652418,0.0,23.0,0
0,227.51592494262806,0.0,3.0,0
43,34.333776818301104,0.0,44.0,0
7,37.32428906433954,0.0,9.0,0
23,17.516758918216794,0.0,25.0,0
10,209.1654336150394,0.0,11.0,0
16,153.38555194539492,0.0,18.0,0
7,197.29164839912644,0.0,9.0,0
34,187.58634858301963,0.0,35.0,0
34,126.0730767926629,14.0,60.0,1
32,243.89042933645024,0.0,35.0,0
4,273.0606771299006,0.0,3.0,0
41,5.266173195963257,0.0,41.0,0
38,74.60722791679619,0.0,37.0,0
40,256.76491251000124,0.0,38.0,0
27,139.18326214818032,0.0,31.0,0
6,238.49422089897894,0.0,4.0,0
8,124.90655750444103,0.0,10.0,0
7,140.67185483866936,0.0,6.0,0
11,57.12439452828657,0.0,9.0,0
33,92.96316707981761,0.0,32.0,0
32,217.94823270273142,0.0,30.0,0
47,155.9387200734599,0.0,47.0,0
22,278.7489658600542,0.0,20.0,0
23,306.9305837778034,0.0,22.0,0
36,194.99271055803354,15.0,68.0,1
34,272.97622514018127,0.0,33.0,0
43,110.4856247500452,2.0,48.0,0
39,149.38963754402815,0.0,38.0,0
21,256.59996343805915,4.0,29.0,1
26,139.03631741413105,1.0,31.0,0
34,211.86177665723596,0.0,34.0,0
0,66.73420046970413,0.0,0.0,0
34,215.91767338937927,0.0,32.0,0
36,310.1449346016817,0.0,36.0,0
46,312.7102703364332,0.0,45.0,0
13,260.76398627863426,0.0,16.0,0
2,268.4712164674054,0.0,6.0,0
0,200.85388025425226,0.0,2.0,0
4,210.4805124596969,0.0,8.0,0
25,48.11420930778648,0.0,25.0,0
13,159.7893078316684,1.0,14.0,0
38,162.27946219909097,0.0,36.0,0
26,345.05922084038644,0.0,24.0,0
8,155.1912705443842,0.0,10.0,0
14,197.76335216499274,0.0,16.0,0
14,191.9705037404769,0.0,13.0,0
25,229.23421813595778,1.0,29.0,0
41,269.3638192794825,0.0,43.0,0
12,81.01507542151397,0.0,10.0,0
31,190.34079087543685,0.0,30.0,0
38,297.33037463377093,0.0,41.0,0
48,166.72129698150414,0.0,50.0,0
31,100.24471669448629,0.0,30.0,0
3,235.69526712826766,0.0,3.0,0
29,296.55626248768425,0.0,27.0,0
36,22.730505453860875,0.0,39.0,0
22,279.6445740266018,0.0,20.0,0
38,295.79325586623764,0.0,36.0,0
44,166.14825393189844,0.0,45.0,0
14,353.99003645464825,0.0,13.0,0
42,283.2150026546313,0.0,42.0,0
28,278.5185233624397,0.0,30.0,0
35,269.22188678834584,0.0,35.0,0
12,54.21891715857864,4.0,19.0,1
31,78.2031191230839,0.0,29.0,0
